date,series_id,target,price_feature,competitor_price_feature,discount,holiday_promo,seasonality,demand_forecast,units_ordered
2022-11-24,S002_P0012,201,68.48,70.89,5,1,,149.16,58
2022-11-25,S002_P0012,344,93.18,97.28,15,0,,318.2,77
2022-11-26,S002_P0012,437,66.02,68.05,10,0,,431.96,105
2022-11-27,S002_P0012,473,85.17,80.51,15,0,,129.44,156
2022-11-28,S002_P0012,211,19.56,22.99,5,0,,198.12,76
2022-11-29,S002_P0012,179,90.82,93.82,20,0,,145.34,95
2022-11-30,S002_P0012,57,72.94,71.04,20,1,,31.18,196
2022-12-01,S002_P0012,67,62.03,65.75,10,1,,62.79,80
2022-12-02,S002_P0012,442,52.34,56.62,0,0,,333.17,59
2022-12-03,S002_P0012,467,41.86,44.85,10,0,,115.62,165
2022-12-04,S002_P0012,149,59.53,60.74,10,1,,77.11,23
2022-12-05,S002_P0012,257,33.26,28.79,0,0,,0.91,95
2022-12-06,S002_P0012,109,26.59,24.07,10,1,,83.92,74
2022-12-07,S002_P0012,236,42.55,43.34,0,1,,227.03,121
2022-12-08,S002_P0012,114,94.32,97.21,10,0,,40.61,87
2022-12-09,S002_P0012,352,75.05,76.5,10,0,,221.43,37
2022-12-10,S002_P0012,437,93.95,95.48,10,1,,451.69,69
2022-12-11,S002_P0012,191,57.76,57.15,5,0,,93.11,127
2022-12-12,S002_P0012,417,15.96,19.78,20,1,,210.55,130
2022-12-13,S002_P0012,161,10.26,5.47,15,1,,78.89,65
2022-12-14,S002_P0012,447,89.14,93.72,15,1,,343.33,121
2022-12-15,S002_P0012,202,61.66,64.31,5,0,,45.16,54
2022-12-16,S002_P0012,309,29.0,24.47,20,1,,50.26,50
2022-12-17,S002_P0012,81,12.49,9.31,15,1,,61.95,140
2022-12-18,S002_P0012,140,95.0,95.31,20,1,,26.32,22
2022-12-19,S002_P0012,415,59.58,63.42,15,1,,220.86,156
2022-12-20,S002_P0012,324,39.44,36.86,20,1,,66.29,161
2022-12-21,S002_P0012,295,60.75,63.34,20,1,,163.72,146
2022-12-22,S002_P0012,276,66.11,63.61,0,1,,154.72,138
2022-12-23,S002_P0012,306,35.18,39.31,5,1,,291.79,102
2022-12-24,S002_P0012,87,43.71,46.55,20,1,,13.82,90
2022-12-25,S002_P0012,449,29.08,27.14,20,0,,215.37,127
2022-12-26,S002_P0012,214,95.23,91.61,0,1,,100.58,191
2022-12-27,S002_P0012,498,40.72,42.39,10,1,,403.36,115
2022-12-28,S002_P0012,351,68.27,69.58,20,1,,333.98,110
2022-12-29,S002_P0012,479,52.82,48.51,15,0,,37.16,40
2022-12-30,S002_P0012,157,66.53,67.54,0,0,,145.32,104
2022-12-31,S002_P0012,187,61.57,63.69,5,1,,132.7,153
2023-01-01,S002_P0012,73,78.6,79.12,5,1,,54.75,136
2023-01-02,S002_P0012,171,82.05,81.21,20,0,,11.85,166
2023-01-03,S002_P0012,359,72.69,76.93,15,0,,298.87,125
2023-01-04,S002_P0012,480,82.13,81.47,0,0,,145.07,174
2023-01-05,S002_P0012,348,91.65,94.24,15,0,,195.13,102
2023-01-06,S002_P0012,92,67.21,67.03,15,0,,50.4,26
2023-01-07,S002_P0012,177,57.42,56.93,15,1,,51.29,113
2023-01-08,S002_P0012,127,57.5,53.3,5,1,,22.24,28
2023-01-09,S002_P0012,265,47.81,50.1,20,1,,264.63,161
2023-01-10,S002_P0012,231,18.48,17.72,5,0,,99.98,170
2023-01-11,S002_P0012,66,44.05,45.14,20,1,,7.38,71
2023-01-12,S002_P0012,344,57.22,54.62,5,1,,286.37,89
2023-01-13,S002_P0012,79,88.63,85.01,5,0,,-7.87,189
2023-01-14,S002_P0012,386,85.64,88.88,0,0,,256.28,193
2023-01-15,S002_P0012,126,21.53,22.92,10,1,,108.77,39
2023-01-16,S002_P0012,254,30.66,34.44,10,1,,156.39,92
2023-01-17,S002_P0012,311,74.6,73.43,0,1,,160.24,47
2023-01-18,S002_P0012,227,79.57,82.37,10,1,,17.14,123
2023-01-19,S002_P0012,368,99.8,96.67,5,0,,208.0,129
2023-01-20,S002_P0012,492,11.77,12.67,10,1,,433.23,142
2023-01-21,S002_P0012,216,12.39,12.02,20,1,,232.54,141
2023-01-22,S002_P0012,145,10.04,13.01,20,0,,92.47,145
2023-01-23,S002_P0012,126,88.98,87.84,0,0,,98.93,97
2023-01-24,S002_P0012,300,74.48,72.62,5,0,,24.29,173
2023-01-25,S002_P0012,390,46.25,50.93,20,0,,368.9,69
2023-01-26,S002_P0012,82,22.02,23.85,0,1,,25.53,146
2023-01-27,S002_P0012,248,53.62,50.92,15,0,,155.94,83
2023-01-28,S002_P0012,435,73.64,72.59,15,0,,99.95,36
2023-01-29,S002_P0012,71,81.4,82.66,20,1,,42.63,188
2023-01-30,S002_P0012,435,88.64,86.6,5,1,,194.83,40
2023-01-31,S002_P0012,128,13.77,16.75,10,1,,112.63,56
2023-02-01,S002_P0012,386,35.32,38.94,5,1,,292.93,55
2023-02-02,S002_P0012,96,79.38,75.05,5,0,,56.39,57
2023-02-03,S002_P0012,280,11.77,9.72,20,0,,4.16,30
2023-02-04,S002_P0012,329,64.71,61.15,20,1,,130.56,159
2023-02-05,S002_P0012,330,27.05,25.5,10,0,,133.12,74
2023-02-06,S002_P0012,174,75.66,80.1,20,0,,102.55,25
2023-02-07,S002_P0012,158,69.22,67.05,15,1,,95.17,23
2023-02-08,S002_P0012,69,78.17,80.54,5,1,,21.74,179
2023-02-09,S002_P0012,268,17.81,18.52,5,1,,49.74,38
2023-02-10,S002_P0012,461,63.82,66.0,15,1,,443.89,157
2023-02-11,S002_P0012,250,96.83,97.66,5,0,,105.7,85
2023-02-12,S002_P0012,411,10.17,7.24,20,0,,396.15,82
2023-02-13,S002_P0012,310,97.04,94.38,5,0,,322.6,150
2023-02-14,S002_P0012,342,16.96,19.37,10,1,,87.69,22
2023-02-15,S002_P0012,292,74.41,75.03,5,0,,123.17,108
2023-02-16,S002_P0012,192,27.06,25.04,20,1,,114.12,175
2023-02-17,S002_P0012,215,49.2,52.6,0,0,,115.17,122
2023-02-18,S002_P0012,74,45.79,42.0,5,0,,68.16,28
2023-02-19,S002_P0012,149,93.46,96.66,20,0,,66.06,71
2023-02-20,S002_P0012,179,12.5,9.48,20,0,,146.16,58
2023-02-21,S002_P0012,162,71.69,75.99,0,0,,133.63,157
2023-02-22,S002_P0012,285,94.07,90.74,5,0,,48.85,65
2023-02-23,S002_P0012,319,46.67,48.19,5,0,,283.91,34
2023-02-24,S002_P0012,180,94.49,97.18,0,0,,80.94,128
2023-02-25,S002_P0012,260,12.44,8.2,20,0,,135.81,97
2023-02-26,S002_P0012,342,73.73,70.53,15,1,,58.24,174
2023-02-27,S002_P0012,292,17.06,16.72,0,0,,64.58,142
2023-02-28,S002_P0012,352,63.8,62.29,0,0,,166.9,149
2023-03-01,S002_P0012,219,29.91,33.66,5,1,,208.79,196
2023-03-02,S002_P0012,360,92.69,88.83,20,1,,229.74,143
2023-03-03,S002_P0012,469,24.99,26.37,15,0,,328.11,78
2023-03-04,S002_P0012,449,69.49,64.84,5,0,,199.73,68
2023-03-05,S002_P0012,102,23.25,25.62,15,0,,44.72,197
2023-03-06,S002_P0012,190,28.24,28.05,10,1,,173.24,54
2023-03-07,S002_P0012,157,50.31,49.24,20,0,,86.4,176
2023-03-08,S002_P0012,215,48.43,49.81,5,0,,103.88,79
2023-03-09,S002_P0012,323,38.17,35.85,20,0,,52.8,166
2023-03-10,S002_P0012,479,67.87,63.08,10,1,,291.38,162
2023-03-11,S002_P0012,136,55.57,57.22,0,0,,96.81,158
2023-03-12,S002_P0012,230,46.26,43.95,15,0,,37.09,183
2023-03-13,S002_P0012,309,46.5,48.47,15,1,,82.79,133
2023-03-14,S002_P0012,260,71.86,72.26,15,1,,258.82,187
2023-03-15,S002_P0012,478,94.86,96.53,0,0,,250.42,191
2023-03-16,S002_P0012,241,46.23,48.98,5,1,,124.01,189
2023-03-17,S002_P0012,147,39.65,41.16,5,0,,62.96,146
2023-03-18,S002_P0012,499,49.04,51.75,20,1,,118.66,71
2023-03-19,S002_P0012,107,51.62,51.69,10,0,,38.45,197
2023-03-20,S002_P0012,100,88.08,92.8,10,0,,88.93,67
2023-03-21,S002_P0012,305,44.41,46.53,5,1,,180.2,181
2023-03-22,S002_P0012,182,48.34,49.41,5,0,,104.48,121
2023-03-23,S002_P0012,236,47.32,45.73,10,0,,191.85,156
2023-03-24,S002_P0012,76,85.04,88.64,5,0,,86.73,82
2023-03-25,S002_P0012,66,84.64,88.4,20,0,,21.86,136
2023-03-26,S002_P0012,213,85.81,86.23,0,0,,204.86,62
2023-03-27,S002_P0012,137,90.48,94.85,15,1,,13.61,45
2023-03-28,S002_P0012,191,84.42,86.71,20,1,,25.18,56
2023-03-29,S002_P0012,267,48.21,50.39,0,0,,95.87,116
2023-03-30,S002_P0012,141,38.75,35.36,5,1,,106.32,200
2023-03-31,S002_P0012,448,43.38,47.68,20,0,,316.95,46
2023-04-01,S002_P0012,232,92.71,97.15,10,0,,220.99,34
2023-04-02,S002_P0012,90,34.81,37.24,20,1,,25.4,48
2023-04-03,S002_P0012,199,77.15,77.47,15,0,,40.16,113
2023-04-04,S002_P0012,320,36.88,33.66,0,1,,179.21,52
2023-04-05,S002_P0012,180,89.11,90.6,0,1,,107.53,156
2023-04-06,S002_P0012,359,76.53,73.27,5,0,,350.21,34
2023-04-07,S002_P0012,478,54.42,54.7,20,0,,368.67,20
2023-04-08,S002_P0012,207,77.49,74.77,5,0,,128.25,198
2023-04-09,S002_P0012,361,97.27,99.16,15,1,,286.42,169
2023-04-10,S002_P0012,273,19.16,15.1,20,1,,100.46,114
2023-04-11,S002_P0012,61,34.81,39.76,20,0,,53.23,74
2023-04-12,S002_P0012,376,67.96,72.38,20,1,,230.21,179
2023-04-13,S002_P0012,295,69.61,68.55,20,1,,197.34,174
2023-04-14,S002_P0012,371,49.68,46.81,5,1,,182.09,113
2023-04-15,S002_P0012,268,61.89,59.07,15,0,,208.14,109
2023-04-16,S002_P0012,203,62.62,64.4,15,1,,8.78,112
2023-04-17,S002_P0012,435,18.11,17.56,15,1,,73.29,142
2023-04-18,S002_P0012,399,32.84,28.67,0,0,,392.93,79
2023-04-19,S002_P0012,238,45.31,44.23,10,0,,79.87,42
2023-04-20,S002_P0012,350,79.6,82.56,5,1,,100.14,186
2023-04-21,S002_P0012,320,41.38,45.4,20,0,,93.49,65
2023-04-22,S002_P0012,155,23.27,18.75,20,0,,42.19,118
2023-04-23,S002_P0012,178,46.58,50.14,0,1,,29.68,164
2023-04-24,S002_P0012,178,14.26,10.8,5,0,,63.77,145
2023-04-25,S002_P0012,145,58.37,61.18,5,1,,84.14,85
2023-04-26,S002_P0012,138,74.09,69.61,10,0,,63.2,56
2023-04-27,S002_P0012,352,75.9,80.52,5,1,,334.81,26
2023-04-28,S002_P0012,471,38.8,39.8,10,1,,96.72,112
2023-04-29,S002_P0012,163,63.14,67.17,10,0,,61.01,65
2023-04-30,S002_P0012,454,91.49,90.55,0,1,,419.31,200
2023-05-01,S002_P0012,247,62.67,62.48,5,1,,44.57,92
2023-05-02,S002_P0012,140,41.17,42.54,0,1,,66.47,121
2023-05-03,S002_P0012,315,28.26,29.19,20,0,,149.75,38
2023-05-04,S002_P0012,60,49.45,53.95,0,0,,9.75,137
2023-05-05,S002_P0012,161,27.58,29.04,0,1,,40.08,85
2023-05-06,S002_P0012,153,92.76,96.03,20,0,,69.46,134
2023-05-07,S002_P0012,193,79.46,82.42,5,1,,132.58,60
2023-05-08,S002_P0012,470,22.82,18.17,20,0,,199.56,192
2023-05-09,S002_P0012,273,76.9,75.01,10,1,,95.64,57
2023-05-10,S002_P0012,156,60.21,62.79,5,0,,161.35,190
2023-05-11,S002_P0012,353,70.53,71.93,10,1,,315.96,99
2023-05-12,S002_P0012,266,91.1,91.78,0,0,,-0.5,30
2023-05-13,S002_P0012,169,19.79,18.11,5,0,,152.01,97
2023-05-14,S002_P0012,62,14.72,12.0,10,0,,23.95,161
2023-05-15,S002_P0012,281,48.68,48.6,0,1,,116.22,100
2023-05-16,S002_P0012,360,14.1,16.55,20,0,,255.18,193
2023-05-17,S002_P0012,105,97.02,93.52,10,0,,63.16,142
2023-05-18,S002_P0012,83,76.1,76.82,20,0,,70.95,167
2023-05-19,S002_P0012,370,88.63,90.97,10,1,,107.82,121
2023-05-20,S002_P0012,454,48.41,52.41,15,1,,271.93,198
2023-05-21,S002_P0012,291,72.04,73.54,5,1,,23.88,145
2023-05-22,S002_P0012,96,69.64,71.81,10,1,,78.61,191
2023-05-23,S002_P0012,301,27.57,32.4,10,0,,120.16,73
2023-05-24,S002_P0012,125,19.8,18.93,0,0,,114.48,118
2023-05-25,S002_P0012,182,39.96,44.17,20,1,,148.48,62
2023-05-26,S002_P0012,220,47.74,49.38,5,0,,130.84,70
2023-05-27,S002_P0012,86,59.34,55.24,15,0,,41.28,84
2023-05-28,S002_P0012,382,15.88,19.86,15,0,,213.61,51
2023-05-29,S002_P0012,411,96.15,94.37,20,1,,133.0,87
2023-05-30,S002_P0012,431,86.19,81.61,15,0,,397.59,66
2023-05-31,S002_P0012,384,85.06,81.03,15,1,,279.81,199
2023-06-01,S002_P0012,197,67.49,70.09,5,0,,31.97,137
2023-06-02,S002_P0012,310,18.36,16.03,5,0,,237.93,71
2023-06-03,S002_P0012,376,73.65,70.16,5,0,,161.09,185
2023-06-04,S002_P0012,165,82.99,87.53,0,1,,25.7,56
2023-06-05,S002_P0012,197,43.11,42.19,15,0,,19.88,41
2023-06-06,S002_P0012,330,53.3,50.4,20,1,,48.26,72
2023-06-07,S002_P0012,219,78.04,79.42,15,1,,109.45,120
2023-06-08,S002_P0012,73,36.25,36.24,5,1,,50.1,58
2023-06-09,S002_P0012,334,11.45,7.21,0,1,,170.16,126
2023-06-10,S002_P0012,387,60.9,59.87,10,0,,295.45,80
2023-06-11,S002_P0012,371,56.3,58.67,20,1,,187.65,164
2023-06-12,S002_P0012,316,13.09,14.14,10,1,,121.53,176
2023-06-13,S002_P0012,324,56.73,60.93,0,1,,241.17,129
2023-06-14,S002_P0012,490,91.57,95.58,15,0,,479.12,57
2023-06-15,S002_P0012,296,95.71,99.92,15,0,,310.36,157
2023-06-16,S002_P0012,435,28.47,30.24,20,0,,219.52,88
2023-06-17,S002_P0012,136,34.03,33.69,20,0,,82.17,107
2023-06-18,S002_P0012,391,45.96,50.83,10,1,,234.21,105
2023-06-19,S002_P0012,483,49.83,49.35,15,0,,56.39,69
2023-06-20,S002_P0012,78,53.47,51.48,0,1,,48.1,72
2023-06-21,S002_P0012,278,39.39,41.56,15,0,,29.38,41
2023-06-22,S002_P0012,447,22.12,23.82,10,1,,155.11,157
2023-06-23,S002_P0012,79,55.5,55.24,0,0,,47.21,197
2023-06-24,S002_P0012,120,77.18,73.95,0,1,,19.12,79
2023-06-25,S002_P0012,120,79.55,83.43,20,0,,115.88,82
2023-06-26,S002_P0012,332,42.97,39.95,20,1,,304.67,62
2023-06-27,S002_P0012,214,81.92,79.39,20,1,,131.36,136
2023-06-28,S002_P0012,178,77.13,75.79,0,0,,100.09,51
2023-06-29,S002_P0012,73,25.78,30.38,20,0,,46.23,49
2023-06-30,S002_P0012,162,87.13,89.71,5,0,,85.76,139
2023-07-01,S002_P0012,101,52.72,50.84,0,0,,90.41,192
2023-07-02,S002_P0012,279,25.82,24.41,20,1,,67.36,200
2023-07-03,S002_P0012,400,46.72,43.4,15,1,,121.77,121
2023-07-04,S002_P0012,393,38.42,34.48,0,1,,295.35,110
2023-07-05,S002_P0012,488,66.38,66.44,20,0,,32.35,148
2023-07-06,S002_P0012,69,47.27,44.13,0,1,,67.34,152
2023-07-07,S002_P0012,215,25.57,21.39,15,1,,30.07,49
2023-07-08,S002_P0012,464,25.79,28.44,15,1,,420.28,133
2023-07-09,S002_P0012,421,67.01,65.11,10,0,,400.54,170
2023-07-10,S002_P0012,225,73.56,71.43,15,0,,181.48,98
2023-07-11,S002_P0012,459,85.61,90.3,15,1,,-0.48,49
2023-07-12,S002_P0012,435,63.58,64.99,5,0,,274.17,25
2023-07-13,S002_P0012,60,29.13,30.35,5,0,,-3.38,121
2023-07-14,S002_P0012,484,88.29,84.0,0,0,,444.09,132
2023-07-15,S002_P0012,334,10.69,6.18,10,1,,186.96,63
2023-07-16,S002_P0012,489,72.55,70.36,15,1,,278.31,81
2023-07-17,S002_P0012,65,50.01,48.04,15,1,,3.52,23
2023-07-18,S002_P0012,64,42.74,38.09,5,1,,21.05,140
2023-07-19,S002_P0012,360,53.61,57.61,10,0,,202.49,98
2023-07-20,S002_P0012,280,30.27,27.18,0,1,,189.32,155
2023-07-21,S002_P0012,168,23.98,26.23,15,1,,50.38,181
2023-07-22,S002_P0012,223,24.79,24.08,0,1,,227.0,148
2023-07-23,S002_P0012,258,63.99,64.23,10,1,,251.79,61
2023-07-24,S002_P0012,407,90.24,91.52,20,0,,311.62,25
2023-07-25,S002_P0012,432,73.57,72.15,5,0,,388.91,143
2023-07-26,S002_P0012,335,17.62,18.74,15,1,,48.54,99
2023-07-27,S002_P0012,175,21.56,16.83,5,1,,26.1,55
2023-07-28,S002_P0012,324,36.84,38.21,15,0,,75.48,30
2023-07-29,S002_P0012,336,38.07,36.06,0,0,,201.93,32
2023-07-30,S002_P0012,199,56.43,53.27,15,1,,43.21,36
2023-07-31,S002_P0012,287,32.89,35.24,5,0,,289.51,171
2023-08-01,S002_P0012,229,51.2,52.16,0,0,,24.91,104
2023-08-02,S002_P0012,213,62.12,65.26,20,0,,156.25,85
2023-08-03,S002_P0012,491,37.03,32.75,15,0,,330.14,106
2023-08-04,S002_P0012,169,41.85,46.49,15,0,,14.34,102
2023-08-05,S002_P0012,464,61.1,64.19,20,1,,339.05,183
2023-08-06,S002_P0012,216,85.22,82.49,15,0,,97.66,166
2023-08-07,S002_P0012,224,16.2,11.43,10,1,,137.27,143
2023-08-08,S002_P0012,499,65.8,66.3,0,0,,123.52,35
2023-08-09,S002_P0012,399,99.21,97.3,15,1,,277.39,150
2023-08-10,S002_P0012,382,83.08,83.14,0,1,,245.7,175
2023-08-11,S002_P0012,119,28.9,33.0,0,0,,69.81,135
2023-08-12,S002_P0012,225,11.39,7.57,0,0,,173.19,76
2023-08-13,S002_P0012,441,83.55,87.79,15,1,,89.61,190
2023-08-14,S002_P0012,211,24.26,19.6,15,0,,22.7,200
2023-08-15,S002_P0012,383,75.11,73.76,5,0,,75.53,102
2023-08-16,S002_P0012,353,10.89,8.07,0,0,,56.82,29
2023-08-17,S002_P0012,272,14.55,14.08,0,1,,152.98,199
2023-08-18,S002_P0012,110,12.59,12.25,0,1,,58.66,116
2023-08-19,S002_P0012,420,59.55,63.03,15,0,,165.58,34
2023-08-20,S002_P0012,105,25.64,23.47,15,0,,53.56,83
2023-08-21,S002_P0012,288,24.59,22.67,5,1,,200.68,98
2023-08-22,S002_P0012,470,54.17,56.59,20,0,,116.24,26
2023-08-23,S002_P0012,499,26.44,23.69,0,0,,233.35,157
2023-08-24,S002_P0012,185,20.94,22.93,10,1,,65.54,64
2023-08-25,S002_P0012,157,67.97,69.14,0,0,,154.12,79
2023-08-26,S002_P0012,367,46.92,42.41,5,1,,194.92,46
2023-08-27,S002_P0012,469,85.35,85.73,10,0,,271.46,156
2023-08-28,S002_P0012,377,39.86,37.72,10,1,,351.27,197
2023-08-29,S002_P0012,94,17.47,16.42,15,1,,16.73,141
2023-08-30,S002_P0012,221,77.05,75.36,5,0,,28.93,105
2023-08-31,S002_P0012,249,85.07,86.97,20,1,,111.44,181
2023-09-01,S002_P0012,313,61.18,60.6,15,0,,288.87,200
2023-09-02,S002_P0012,77,46.73,45.26,15,1,,63.63,30
2023-09-03,S002_P0012,473,51.73,49.46,0,0,,434.63,21
2023-09-04,S002_P0012,391,17.11,21.39,0,0,,213.95,35
2023-09-05,S002_P0012,118,68.03,66.65,15,0,,104.49,140
2023-09-06,S002_P0012,274,97.78,93.71,5,1,,155.99,160
2023-09-07,S002_P0012,349,92.44,92.93,5,1,,42.75,192
2023-09-08,S002_P0012,484,46.24,48.05,20,0,,47.54,59
2023-09-09,S002_P0012,392,84.04,86.85,10,1,,316.72,41
2023-09-10,S002_P0012,474,43.34,41.94,10,0,,380.68,200
2023-09-11,S002_P0012,337,80.42,85.05,5,0,,162.19,162
2023-09-12,S002_P0012,102,48.26,50.05,10,0,,20.57,88
2023-09-13,S002_P0012,346,56.8,54.94,5,1,,75.67,80
2023-09-14,S002_P0012,81,89.02,91.41,0,1,,1.08,51
2023-09-15,S002_P0012,396,74.8,76.07,15,1,,362.12,136
2023-09-16,S002_P0012,216,68.81,69.77,0,1,,70.03,180
2023-09-17,S002_P0012,289,69.91,67.26,0,0,,150.17,105
2023-09-18,S002_P0012,165,37.28,35.15,10,1,,97.85,180
2023-09-19,S002_P0012,376,91.59,91.24,20,0,,98.2,55
2023-09-20,S002_P0012,121,28.21,28.51,5,0,,39.18,189
2023-09-21,S002_P0012,382,48.6,53.26,10,1,,234.61,181
2023-09-22,S002_P0012,362,31.36,27.2,0,1,,358.06,132
2023-09-23,S002_P0012,295,51.07,53.51,20,0,,166.07,59
2023-09-24,S002_P0012,312,18.3,19.69,10,0,,245.33,97
2023-09-25,S002_P0012,420,55.18,50.69,15,0,,333.51,61
2023-09-26,S002_P0012,269,54.9,53.04,5,0,,99.02,22
2023-09-27,S002_P0012,212,54.35,52.87,5,0,,45.09,178
2023-09-28,S002_P0012,496,96.25,96.33,0,0,,197.65,54
2023-09-29,S002_P0012,179,48.38,52.78,0,1,,91.3,158
2023-09-30,S002_P0012,201,91.78,91.84,15,1,,182.57,23
2023-10-01,S002_P0012,379,92.88,97.7,20,0,,232.01,63
2023-10-02,S002_P0012,456,12.23,8.7,15,1,,84.15,137
2023-10-03,S002_P0012,285,16.86,12.76,20,1,,106.15,176
2023-10-04,S002_P0012,145,39.27,34.98,10,1,,2.17,71
2023-10-05,S002_P0012,289,85.34,88.03,0,0,,117.25,101
2023-10-06,S002_P0012,186,21.56,23.17,5,1,,26.87,125
2023-10-07,S002_P0012,342,64.18,63.48,5,1,,97.92,152
2023-10-08,S002_P0012,77,14.29,11.7,10,1,,12.62,92
2023-10-09,S002_P0012,92,20.43,16.43,10,1,,0.25,51
2023-10-10,S002_P0012,82,34.83,31.57,20,0,,75.37,176
2023-10-11,S002_P0012,150,83.84,85.49,5,1,,133.9,29
2023-10-12,S002_P0012,261,23.88,19.92,10,1,,235.74,168
2023-10-13,S002_P0012,498,29.02,28.06,0,0,,19.12,140
2023-10-14,S002_P0012,313,87.19,88.75,20,0,,236.19,188
2023-10-15,S002_P0012,118,72.28,73.3,5,1,,77.86,58
2023-10-16,S002_P0012,174,22.35,19.63,5,0,,133.95,108
2023-10-17,S002_P0012,104,36.82,38.83,5,0,,32.63,62
2023-10-18,S002_P0012,396,63.52,66.01,20,1,,352.82,39
2023-10-19,S002_P0012,350,87.51,87.51,5,0,,331.0,94
2023-10-20,S002_P0012,93,27.92,26.76,0,1,,102.55,176
2023-10-21,S002_P0012,148,14.29,17.26,10,1,,70.39,119
2023-10-22,S002_P0012,467,18.78,14.74,5,0,,58.44,137
2023-10-23,S002_P0012,262,67.6,70.52,5,1,,37.44,106
2023-10-24,S002_P0012,302,34.0,37.75,5,0,,277.34,122
2023-10-25,S002_P0012,492,62.72,66.16,10,0,,357.98,109
2023-10-26,S002_P0012,490,53.9,57.16,15,0,,94.63,104
2023-10-27,S002_P0012,444,29.36,30.5,10,1,,392.87,117
2023-10-28,S002_P0012,495,28.78,29.94,10,0,,441.54,120
2023-10-29,S002_P0012,466,66.6,66.69,10,1,,244.85,188
2023-10-30,S002_P0012,235,57.4,60.43,20,0,,210.2,48
2023-10-31,S002_P0012,500,86.36,88.0,5,1,,113.9,65
2023-11-01,S002_P0012,231,28.51,31.46,5,1,,86.78,100
2023-11-02,S002_P0012,474,33.24,35.51,5,0,,460.13,50
2023-11-03,S002_P0012,63,36.7,36.61,5,0,,27.47,53
2023-11-04,S002_P0012,151,42.22,47.15,15,0,,95.05,110
2023-11-05,S002_P0012,94,50.66,45.66,20,0,,51.53,22
2023-11-06,S002_P0012,111,29.78,29.54,10,0,,103.43,64
2022-01-02,S002_P0013,287,92.57,97.09,10,1,,279.91,92
2022-01-03,S002_P0013,303,65.89,64.52,10,0,,268.73,164
2022-01-04,S002_P0013,429,16.47,17.47,5,0,,151.22,180
2022-01-05,S002_P0013,296,25.38,25.99,15,1,,214.64,20
2022-01-06,S002_P0013,467,49.42,53.84,10,0,,348.62,191
2022-01-07,S002_P0013,176,45.69,47.41,20,1,,155.52,124
2022-01-08,S002_P0013,348,97.17,95.44,10,1,,88.65,70
2022-01-09,S002_P0013,344,26.81,26.46,15,1,,289.15,81
2022-01-10,S002_P0013,213,30.8,26.83,15,1,,122.12,46
2022-01-11,S002_P0013,383,53.87,53.47,0,0,,374.54,167
2022-01-12,S002_P0013,332,17.36,13.02,5,1,,56.29,113
2022-01-13,S002_P0013,288,26.64,29.48,20,1,,236.59,65
2022-01-14,S002_P0013,84,85.91,82.2,20,0,,90.93,179
2022-01-15,S002_P0013,133,90.92,87.55,10,1,,84.96,89
2022-01-16,S002_P0013,140,14.79,14.48,0,0,,45.48,182
2022-01-17,S002_P0013,358,91.73,95.94,5,0,,175.43,127
2022-01-18,S002_P0013,150,98.6,102.0,15,1,,124.73,75
2022-01-19,S002_P0013,325,23.08,23.67,0,0,,173.04,69
2022-01-20,S002_P0013,358,42.02,42.64,20,1,,49.58,81
2022-01-21,S002_P0013,55,26.16,28.86,0,0,,31.66,173
2022-01-22,S002_P0013,140,90.42,95.25,15,1,,61.9,173
2022-01-23,S002_P0013,111,24.68,26.87,5,1,,13.43,97
2022-01-24,S002_P0013,206,64.45,67.72,0,1,,63.37,115
2022-01-25,S002_P0013,100,66.01,69.52,0,0,,63.69,20
2022-01-26,S002_P0013,386,93.81,89.63,20,0,,296.06,113
2022-01-27,S002_P0013,73,36.91,39.97,5,1,,61.72,173
2022-01-28,S002_P0013,150,93.49,90.12,20,1,,28.56,199
2022-01-29,S002_P0013,486,97.82,95.29,10,1,,480.94,21
2022-01-30,S002_P0013,265,80.42,80.13,10,0,,150.68,187
2022-01-31,S002_P0013,401,35.93,38.16,0,0,,180.9,49
2022-02-01,S002_P0013,362,54.2,52.09,5,0,,64.97,68
2022-02-02,S002_P0013,380,79.14,78.14,5,1,,365.24,125
2022-02-03,S002_P0013,438,52.77,55.76,20,1,,23.05,29
2022-02-04,S002_P0013,151,38.21,34.7,5,1,,115.61,145
2022-02-05,S002_P0013,174,74.17,78.52,0,0,,20.81,27
2022-02-06,S002_P0013,495,21.61,20.84,15,1,,231.81,130
2022-02-07,S002_P0013,99,16.13,20.72,10,1,,99.76,62
2022-02-08,S002_P0013,183,93.17,90.61,0,0,,133.65,59
2022-02-09,S002_P0013,338,55.33,59.41,15,1,,274.16,86
2022-02-10,S002_P0013,245,95.41,94.46,0,0,,241.44,118
2022-02-11,S002_P0013,413,50.06,48.24,15,0,,419.41,82
2022-02-12,S002_P0013,440,57.53,55.51,0,0,,8.84,94
2022-02-13,S002_P0013,392,39.13,36.11,0,1,,290.84,87
2022-02-14,S002_P0013,363,28.97,31.44,15,1,,181.1,145
2022-02-15,S002_P0013,200,12.05,7.89,15,0,,185.8,185
2022-02-16,S002_P0013,114,17.19,21.1,20,0,,18.06,22
2022-02-17,S002_P0013,290,12.67,10.94,20,0,,170.12,102
2022-02-18,S002_P0013,100,54.13,52.55,20,0,,72.57,115
2022-02-19,S002_P0013,101,17.11,18.77,5,1,,78.56,121
2022-02-20,S002_P0013,463,75.35,79.0,20,0,,456.47,181
